transect	resp	date	coef	mode	d.chenal	d.mer	alt	surf	p.roc	p.moul	p.huit	p.bala	p.alg	p.encr	p.eau	s.flaq	d.flaq	Bitret	Gibcin	Gibsp.	Gibtum	Litlit	Litobt	Litrud	Litsax	Monlin	Nasinc	Naspyg	Nasret	Oceeri	Patsp.	Rispar	Thalap	sp	haut	larg	peri	pred	coul	text	epizo	masse
a110	heloise.villesseche	21septembre2017	99	a	110	85	5.6	0.20	100	50	0	70	15	0	15	NA	NA	0	0	4	0	1	0	0	0	14	0	0	0	0	9	0	1	Litlit	6.4	4.1	2.3	non	sombre	lisse	non	0.10
a110	heloise.villesseche	21septembre2017	99	a	110	85	5.6	0.20	100	50	0	70	15	0	15	NA	NA	0	0	4	0	1	0	0	0	14	0	0	0	0	9	0	1	Gibsp.	9.7	5.0	4.3	non	sombre	lisse	non	0.30
a110	heloise.villesseche	21septembre2017	99	a	110	85	5.6	0.20	100	50	0	70	15	0	15	NA	NA	0	0	4	0	1	0	0	0	14	0	0	0	0	9	0	1	Gibsp.	11.8	7.1	5.3	oui	sombre	lisse	non	0.66
a110	heloise.villesseche	21septembre2017	99	a	110	85	5.6	0.20	100	50	0	70	15	0	15	NA	NA	0	0	4	0	1	0	0	0	14	0	0	0	0	9	0	1	Gibsp.	11.8	6.9	5.3	non	sombre	lisse	non	0.62
a110	heloise.villesseche	21septembre2017	99	a	110	85	5.6	0.20	100	50	0	70	15	0	15	NA	NA	0	0	4	0	1	0	0	0	14	0	0	0	0	9	0	1	Gibsp.	12.2	7.2	5.7	non	sombre	lisse	non	0.71
a110	heloise.villesseche	21septembre2017	99	a	110	85	5.6	0.20	100	50	0	70	15	0	15	NA	NA	0	0	4	0	1	0	0	0	14	0	0	0	0	9	0	1	Thalap	24.3	11.4	4.8	non	clair	lisse	oui	2.46
a110	heloise.villesseche	21septembre2017	99	a	110	85	5.6	0.20	100	50	0	70	15	0	15	NA	NA	0	0	4	0	1	0	0	0	14	0	0	0	0	9	0	1	Monlin	12.7	7.7	5.7	oui	sombre	lisse	non	0.84
a110	heloise.villesseche	21septembre2017	99	a	110	85	5.6	0.20	100	50	0	70	15	0	15	NA	NA	0	0	4	0	1	0	0	0	14	0	0	0	0	9	0	1	Monlin	14.5	8.4	6.4	non	sombre	lisse	non	1.09
a110	heloise.villesseche	21septembre2017	99	a	110	85	5.6	0.20	100	50	0	70	15	0	15	NA	NA	0	0	4	0	1	0	0	0	14	0	0	0	0	9	0	1	Monlin	15.4	9.2	7.5	oui	sombre	lisse	oui	1.48
a110	heloise.villesseche	21septembre2017	99	a	110	85	5.6	0.20	100	50	0	70	15	0	15	NA	NA	0	0	4	0	1	0	0	0	14	0	0	0	0	9	0	1	Monlin	15.6	10.1	7.1	non	sombre	lisse	non	1.59
