	sp	haut	larg	peri	pred	coul	text	epizo	masse
Q1	Litlit	11.2	9.5	2.2	non	sombre	lisse	non	0.56
Q1	Litlit	12.9	8.5	5.7	non	sombre	lisse	oui	0.88
Q1	Litlit	8.6	6.9	3.4	non	sombre	lisse	non	0.24
Q1	Gibsp.	8.4	13.1	5.0	non	sombre	lisse	non	0.9
Q1	Gibsp.	3.9	7.2	52.5	non	sombre	lisse	non	0.16
Q1	Gibsp.	6.6	11.1	4.6	non	sombre	lisse	non	0.5
Q1	Gibsp.	6.9	11.2	4.6	non	sombre	lisse	non	0.5
Q1	Gibsp.	6.9	11.1	3.9	non	sombre	lisse	non	0.54
Q2	Gibmon	10	16.6	6.5	non	sombre	lisse	oui	1.66
Q2	Gibmon	10.8	16	6	non	sombre	lisse	oui	1.62
Q2	Gibmon	8.3	13.4	5	non	sombre	lisse	non	0.9
Q2	Gibmon	12	17.4	7.9	non	sombre	lisse	oui	2.3
Q2	Gibmon	8.5	12.6	5.1	non	sombre	lisse	non	0.96
Q2	Thalap	24	11.7	4.6	non	clair	rugueux	non	1.28
Q2	Thalap	22.8	13.7	4.6	non	clair	rugueux	non	2.06
Q2	Litlit	15.6	13	5.6	non	sombre	lisse	oui	1.34
Q2	Litlit	16	14.1	5.6	non	sombre	lisse	non	1.74
Q2	Litlit	13.9	10.5	5	non	sombre	lisse	non	1.08
Q2	Litlit	13.7	10.5	5.1	non	sombre	lisse	oui	1
Q2	Litlit	10.5	9	2.9	non	sombre	lisse	non	0.44
Q2	Gibsp.	7.6	12	4.5	non	sombre	lisse	non	0.72
Q2	Gibsp.	7	12.2	4.4	non	sombre	lisse	non	0.72
Q2	Gibsp.	7.4	14.4	4.5	non	sombre	lisse	non	0.68
Q2	Gibsp.	7.5	12.1	4.6	non	sombre	lisse	non	0.9
Q2	Gibsp.	7	16	4.2	non	sombre	lisse	oui	0.58
Q3	Gibsp.	7.2	11.78	4.4	non	sombre	lisse	non	0.66
Q3	Gibsp.	6.8	10	3.5	non	sombre	lisse	non	0.62
Q3	Gibsp.	6.8	10.4	4.3	non	sombre	lisse	non	0.56
Q3	Gibsp.	4.1	8.6	3.1	non	sombre	lisse	non	0.021
Q3	Gibsp.	4.4	8.5	NA	non	sombre	lisse	non	0.022
Q3	Gibmon	10.1	12.7	5.1	non	sombre	lisse	non	0.88
Q3	Gibmon	13.6	14.8	5.5	non	sombre	lisse	oui	1.28
Q3	Gibmon	11.6	13.9	4.6	non	sombre	lisse	non	1.06
Q3	Gibmon	12.7	14.1	4.5	non	sombre	lisse	non	1.08
Q3	Gibmon	14.5	15.7	5.4	non	sombre	lisse	oui	2.04
Q3	Litlit	6.2	5.2	NA	non	sombre	lisse	non	0.011
Q3	Litlit	12.6	9.2	3.6	non	sombre	lisse	oui	0.82
Q3	Litlit	12.6	9.8	3.3	non	sombre	lisse	oui	0.76
Q3	Litlit	8.8	6.9	2.1	non	sombre	lisse	non	0.027
