transect	resp	date	coef	mode	d.chenal	d.mer	alt	surf	p.roc	p.moul	p.huit	p.bala	p.alg	p.encr	p.eau	s.flaq	d.flaq	Bitret	Gibcin	Gibsp. 	Gibtum	Litlit	Litobt	Litrud	Litsax	Monlin	Nasinc	Naspyg	Nasret	Oceeri	Patsp.	Rispar	Thalap	sp	haut	larg	peri	pred	coul	text	epizo	masse
b70	thibaud.tournadre	21septembre2017	99	b	70	60	1.4	NA	10	0	0	10	15	0	100	0.39	0.5	0	0	34	0	19	0	0	0	0	0	0	0	0	1	0	1	Thalap	22	13	3.7	oui	clair	lisse	oui	2.08
b70	thibaud.tournadre	21septembre2017	99	b	70	60	1.4	NA	10	0	0	10	15	0	100	0.39	0.5	0	0	34	0	19	0	0	0	0	0	0	0	0	1	0	1	Litlit	9.9	9	3.4	non	sombre	lisse	non	0.44
b70	thibaud.tournadre	21septembre2017	99	b	70	60	1.4	NA	10	0	0	10	15	0	100	0.39	0.5	0	0	34	0	19	0	0	0	0	0	0	0	0	1	0	1	Litlit	9.9	8	3	oui	sombre	lisse	non	0.35
b70	thibaud.tournadre	21septembre2017	99	b	70	60	1.4	NA	10	0	0	10	15	0	100	0.39	0.5	0	0	34	0	19	0	0	0	0	0	0	0	0	1	0	1	Gibsp	8.1	10.2	4	non	sombre	lisse	non	0.95
b70	thibaud.tournadre	21septembre2017	99	b	70	60	1.4	NA	10	0	0	10	15	0	100	0.39	0.5	0	0	34	0	19	0	0	0	0	0	0	0	0	1	0	1	Litlit	8.3	7.1	2.6	non	sombre	lisse	non	0.25
b70	thibaud.tournadre	21septembre2017	99	b	70	60	1.4	NA	10	0	0	10	15	0	100	0.39	0.5	0	0	34	0	19	0	0	0	0	0	0	0	0	1	0	1	Litlit	9.3	7.5	2.9	non	sombre	lisse	non	0.29
b70	thibaud.tournadre	21septembre2017	99	b	70	60	1.4	NA	10	0	0	10	15	0	100	0.39	0.5	0	0	34	0	19	0	0	0	0	0	0	0	0	1	0	1	Gibsp	6.1	10.6	3.7	non	sombre	lisse	non	0.52
b70	thibaud.tournadre	21septembre2017	99	b	70	60	1.4	NA	10	0	0	10	15	0	100	0.39	0.5	0	0	34	0	19	0	0	0	0	0	0	0	0	1	0	1	Litlit	10.5	8.8	3.5	oui	sombre	lisse	NA	0.47
b70	thibaud.tournadre	21septembre2017	99	b	70	60	1.4	NA	10	0	0	10	15	0	100	0.39	0.5	0	0	34	0	19	0	0	0	0	0	0	0	0	1	0	1	Gibsp	7.7	12.1	3.6	non	sombre	lisse	non	0.7
b70	thibaud.tournadre	21septembre2017	99	b	70	60	1.4	NA	10	0	0	10	15	0	100	0.39	0.5	0	0	34	0	19	0	0	0	0	0	0	0	0	1	0	1	Gibsp	4.5	8.5	3	non	sombre	lisse	non	0.25
b70	thibaud.tournadre	21septembre2017	99	b	70	60	1.4	NA	10	0	0	10	15	0	100	0.39	0.5	0	0	34	0	19	0	0	0	0	0	0	0	0	1	0	1	Gibsp	6.1	10.7	3.4	non	sombre	lisse	non	0.52
b70	thibaud.tournadre	21spetembre2017	99	b	70	60	1.4	0.29	100	0	85	70	NA	NA	0	NA	NA	0	0	22	0	5	0	0	0	5	0	0	0	0	7	0	0	Litlit	12.4	11.1	4.2	non	sombre	lisse	oui	0.78
