transect,resp,date,coef,mode,d.chenal,d.mer,alt,surf,p.roc,p.moul,p.huit,p.bala,p.alg,p.encr,p.eau,s.flaq,d.flaq,Bitret,Gibcin,Gibsp.,Gibtum,Litlit,Litobt,Litrud,Litsax,Monlin,Nasinc,Naspyg,Nasret,Oceeri,Patsp.,Rispar,Thalap,sp,haut,larg,peri,pred,coul,text,epizo,masse
a0,raphael.leprince,20septembre2017,97,a,0,50,2.2,0.20,0,0,0,1,0,3,100,1.4,0.1,0,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,Litlit,11.2,9.5,2.2,non,sombre,lisse,non,0.56
a0,raphael.leprince,20septembre2017,97,a,0,50,2.2,0.20,0,0,0,1,0,3,100,1.4,0.1,0,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,Litlit,12.9,8.5,5.7,non,sombre,lisse,oui,0.88
a0,raphael.leprince,20septembre2017,97,a,0,50,2.2,0.20,0,0,0,1,0,3,100,1.4,0.1,0,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,Litlit,8.6,6.9,3.4,non,sombre,lisse,non,0.24
a0,raphael.leprince,20septembre2017,97,a,0,50,2.2,0.20,0,0,0,1,0,3,100,1.4,0.1,0,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,Gibsp.,8.4,13.1,5.0,non,sombre,lisse,non,0.9
a0,raphael.leprince,20septembre2017,97,a,0,50,2.2,0.20,0,0,0,1,0,3,100,1.4,0.1,0,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,Gibsp.,3.9,7.2,5.25,non,sombre,lisse,non,0.16
a0,raphael.leprince,20septembre2017,97,a,0,50,2.2,0.20,0,0,0,1,0,3,100,1.4,0.1,0,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,Gibsp.,6.6,11.1,4.6,non,sombre,lisse,non,0.5
a0,raphael.leprince,20septembre2017,97,a,0,50,2.2,0.20,0,0,0,1,0,3,100,1.4,0.1,0,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,Gibsp.,6.9,11.2,4.6,non,sombre,lisse,non,0.5
a0,raphael.leprince,20septembre2017,97,a,0,50,2.2,0.20,0,0,0,1,0,3,100,1.4,0.1,0,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,Gibsp.,6.9,11.1,3.9,non,sombre,lisse,non,0.54
a0,raphael.leprince,20septembre2017,97,a,0,50,2.2,0.21,80,5,5,90,15,5,20,NA,NA,0,0,36,0,14,0,0,0,6,0,0,0,0,7,0,2,Gibmon,10,16.6,6.5,non,sombre,lisse,oui,1.66
a0,raphael.leprince,20septembre2017,97,a,0,50,2.2,0.21,80,5,5,90,15,5,20,NA,NA,0,0,36,0,14,0,0,0,6,0,0,0,0,7,0,2,Gibmon,10.8,16,6,non,sombre,lisse,oui,1.62
a0,raphael.leprince,20septembre2017,97,a,0,50,2.2,0.21,80,5,5,90,15,5,20,NA,NA,0,0,36,0,14,0,0,0,6,0,0,0,0,7,0,2,Gibmon,8.3,13.4,5,non,sombre,lisse,non,0.9
a0,raphael.leprince,20septembre2017,97,a,0,50,2.2,0.21,80,5,5,90,15,5,20,NA,NA,0,0,36,0,14,0,0,0,6,0,0,0,0,7,0,2,Gibmon,12,17.4,7.9,non,sombre,lisse,oui,2.3
a0,raphael.leprince,20septembre2017,97,a,0,50,2.2,0.21,80,5,5,90,15,5,20,NA,NA,0,0,36,0,14,0,0,0,6,0,0,0,0,7,0,2,Gibmon,8.5,12.6,5.1,non,sombre,lisse,non,0.96
a0,raphael.leprince,20septembre2017,97,a,0,50,2.2,0.21,80,5,5,90,15,5,20,NA,NA,0,0,36,0,14,0,0,0,6,0,0,0,0,7,0,2,Thalap,24,11.7,4.6,non,clair,rugueux,non,1.28
a0,raphael.leprince,20septembre2017,97,a,0,50,2.2,0.21,80,5,5,90,15,5,20,NA,NA,0,0,36,0,14,0,0,0,6,0,0,0,0,7,0,2,Thalap,22.8,13.7,4.6,non,clair,rugueux,non,2.06
a0,raphael.leprince,20septembre2017,97,a,0,50,2.2,0.21,80,5,5,90,15,5,20,NA,NA,0,0,36,0,14,0,0,0,6,0,0,0,0,7,0,2,Litlit,15.6,13,5.6,non,sombre,lisse,oui,1.34
a0,raphael.leprince,20septembre2017,97,a,0,50,2.2,0.21,80,5,5,90,15,5,20,NA,NA,0,0,36,0,14,0,0,0,6,0,0,0,0,7,0,2,Litlit,16,14.1,5.6,non,sombre,lisse,non,1.74
a0,raphael.leprince,20septembre2017,97,a,0,50,2.2,0.21,80,5,5,90,15,5,20,NA,NA,0,0,36,0,14,0,0,0,6,0,0,0,0,7,0,2,Litlit,13.9,10.5,5,non,sombre,lisse,non,1.08
a0,raphael.leprince,20septembre2017,97,a,0,50,2.2,0.21,80,5,5,90,15,5,20,NA,NA,0,0,36,0,14,0,0,0,6,0,0,0,0,7,0,2,Litlit,13.7,10.5,5.1,non,sombre,lisse,oui,1
