transect	resp	date	coef	mode	d.chenal	d.mer	alt	surf	p.roc	p.moul	p.huit	p.bala	p.alg	p.encr	p.eau	s.flaq	d.flaq	Bitret	Gibcin	Gibsp.	Gibtum	Litlit	Litobt	Litrud	Litsax	Monlin	Nasinc	Naspyg	Nasret	Oceeri	Patsp.	Rispar	Thalap	sp	haut	larg	peri	pred	coul	text	epizo	masse
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	10	5	60	50	15	100	0.2	0.5	0	0	15	0	21	0	0	0	0	0	0	0	0	2	0	0	Gibsp.	8	12.3	4.2	non	sombre	lisse	non	3,70
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	10	5	60	50	15	100	0.2	0.5	0	0	15	0	21	0	0	0	0	0	0	0	0	2	0	0	Gibsp.	6.2	9.6	3.9	non	sombre	lisse	non	2,40
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	10	5	60	50	15	100	0.2	0.5	0	0	15	0	21	0	0	0	0	0	0	0	0	2	0	0	Gibsp.	8.2	12.8	4.9	non	sombre	lisse	oui	4,50
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	10	5	60	50	15	100	0.2	0.5	0	0	15	0	21	0	0	0	0	0	0	0	0	2	0	0	Gibsp.	7.3	10.5	4	non	sombre	lisse	oui	3,20
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	10	5	60	50	15	100	0.2	0.5	0	0	15	0	21	0	0	0	0	0	0	0	0	2	0	0	Gibsp.	6.6	10.3	4	non	sombre	lisse	non	2,80
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	10	5	60	50	15	100	0.2	0.5	0	0	15	0	21	0	0	0	0	0	0	0	0	2	0	0	Litlit	12.9	10.4	4.1	non	sombre	lisse	non	3,00
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	10	5	60	50	15	100	0.2	0.5	0	0	15	0	21	0	0	0	0	0	0	0	0	2	0	0	Litlit	11	7.5	5	non	sombre	lisse	non	2,40
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	10	5	60	50	15	100	0.2	0.5	0	0	15	0	21	0	0	0	0	0	0	0	0	2	0	0	Litlit	11.9	7.9	3.4	non	sombre	lisse	oui	3,00
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	10	5	60	50	15	100	0.2	0.5	0	0	15	0	21	0	0	0	0	0	0	0	0	2	0	0	Litlit	7.3	7	3.1	non	sombre	lisse	non	1,00
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	10	5	60	50	15	100	0.2	0.5	0	0	15	0	21	0	0	0	0	0	0	0	0	2	0	0	Litlit	10.9	8	4	oui	sombre	lisse	non	2,40
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	45	0	80	0	0	0	NA	NA	0	0	13	0	16	0	0	0	0	0	0	0	0	5	0	0	Gibsp.	7	11	3.9	non	sombre	lisse	oui	3,20
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	45	0	80	0	0	0	NA	NA	0	0	13	0	16	0	0	0	0	0	0	0	0	5	0	0	Gibsp.	7.3	11.7	3.6	non	sombre	lisse	oui	3,50
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	45	0	80	0	0	0	NA	NA	0	0	13	0	16	0	0	0	0	0	0	0	0	5	0	0	Gibsp.	7.8	12.2	4.6	oui	sombre	lisse	non	4,80
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	45	0	80	0	0	0	NA	NA	0	0	13	0	16	0	0	0	0	0	0	0	0	5	0	0	Gibsp.	8.3	12.2	4.3	non	sombre	lisse	oui	3,90
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	45	0	80	0	0	0	NA	NA	0	0	13	0	16	0	0	0	0	0	0	0	0	5	0	0	Gibsp.	8.4	11.9	4.4	non	sombre	lisse	non	4,00
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	45	0	80	0	0	0	NA	NA	0	0	13	0	16	0	0	0	0	0	0	0	0	5	0	0	Litlit	11.3	10	3.6	non	sombre	lisse	non	2,50
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	45	0	80	0	0	0	NA	NA	0	0	13	0	16	0	0	0	0	0	0	0	0	5	0	0	Litlit	9.9	7.7	2.4	oui	sombre	lisse	non	1,90
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	45	0	80	0	0	0	NA	NA	0	0	13	0	16	0	0	0	0	0	0	0	0	5	0	0	Litlit	10	9.1	2.9	oui	sombre	lisse	non	1,80
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	45	0	80	0	0	0	NA	NA	0	0	13	0	16	0	0	0	0	0	0	0	0	5	0	0	Litlit	9.1	6.6	2.6	oui	sombre	lisse	non	2,00
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	45	0	80	0	0	0	NA	NA	0	0	13	0	16	0	0	0	0	0	0	0	0	5	0	0	Litlit	9.3	8	3.7	oui	sombre	lisse	non	2,00
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	30	5	50	5	0	0	NA	NA	0	0	63	0	35	0	0	0	0	0	0	0	0	5	0	0	Gibsp.	8.6	11.3	4	non	sombre	lisse	oui	3,70
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	30	5	50	5	0	0	NA	NA	0	0	63	0	35	0	0	0	0	0	0	0	0	5	0	0	Gibsp.	8.4	13.1	4.4	oui	sombre	lisse	oui	4,50
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	30	5	50	5	0	0	NA	NA	0	0	63	0	35	0	0	0	0	0	0	0	0	5	0	0	Gibsp.	4.1	6.2	2.6	oui	sombre	lisse	non	0,10
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	30	5	50	5	0	0	NA	NA	0	0	63	0	35	0	0	0	0	0	0	0	0	5	0	0	Gibsp.	8.1	12.2	3.7	non	sombre	lisse	oui	3,70
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	30	5	50	5	0	0	NA	NA	0	0	63	0	35	0	0	0	0	0	0	0	0	5	0	0	Gibsp.	5.2	9.3	3.1	oui	sombre	lisse	non	0,10
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	30	5	50	5	0	0	NA	NA	0	0	63	0	35	0	0	0	0	0	0	0	0	5	0	0	Litlit	13.2	12.1	4.8	non	sombre	lisse	non	4,50
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	30	5	50	5	0	0	NA	NA	0	0	63	0	35	0	0	0	0	0	0	0	0	5	0	0	Litlit	9.5	8.1	3.1	non	sombre	lisse	non	0,20
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	30	5	50	5	0	0	NA	NA	0	0	63	0	35	0	0	0	0	0	0	0	0	5	0	0	Litlit	11.5	11	4.6	non	sombre	lisse	oui	2,90
b40	loic.menut	20septembre2017	97	b	40	50	2.8	0.2	100	30	5	50	5	0	0	NA	NA	0	0	63	0	35	0	0	0	0	0	0	0	0	5	0	0	Litlit	11.9	11.5	4.1	non	sombre	lisse	non	3,40
