transect	resp	date	coef	mode	d.chenal	d.mer	alt	surf	p.roc	p.moul	p.huit	p.bala	p.alg	p.encr	p.eau	s.flaq	d.flaq	Bitret	Gibcin	Gibsp.	Gibtum	Litlit	Litobt	Litrud	Litsax	Monlin	Nasinc	Naspyg	Nasret	Oceeri	Patsp.	Rispar	Thalap	sp	haut	larg	peri	pred	coul	text	epizo	masse
b30	thomas.brazier	21septembre2017	99	b	30	53	1.85	0.2	100	25	0	90	0	5	5	NA	NA	0	0	16	0	10	0	0	0	0	0	0	0	0	8	0	0	Litlit	15	7.6	5	oui	sombre	lisse	non	0.54
b30	thomas.brazier	21septembre2017	99	b	30	53	1.85	0.2	100	25	0	90	0	5	5	NA	NA	0	0	16	0	10	0	0	0	0	0	0	0	0	8	0	0	Litlit	12	9.7	6.4	non	sombre	lisse	non	1.2
b30	thomas.brazier	21septembre2017	99	b	30	53	1.85	0.2	100	25	0	90	0	5	5	NA	NA	0	0	16	0	10	0	0	0	0	0	0	0	0	8	0	0	Litlit	9.7	7.1	4.8	oui	sombre	lisse	non	0.54
b30	thomas.brazier	21septembre2017	99	b	30	53	1.85	0.2	100	25	0	90	0	5	5	NA	NA	0	0	16	0	10	0	0	0	0	0	0	0	0	8	0	0	Litlit	9.1	8.1	5.7	non	sombre	lisse	non	0.44
b30	thomas.brazier	21septembre2017	99	b	30	53	1.85	0.2	100	25	0	90	0	5	5	NA	NA	0	0	16	0	10	0	0	0	0	0	0	0	0	8	0	0	Litlit	12.8	9.1	4.3	non	sombre	lisse	non	0.78
b30	thomas.brazier	21septembre2017	99	b	30	53	1.85	0.2	100	25	0	90	0	5	5	NA	NA	0	0	16	0	10	0	0	0	0	0	0	0	0	8	0	0	Litlit	12.7	7.2	4.7	oui	sombre	lisse	non	0.54
b30	thomas.brazier	21septembre2017	99	b	30	53	1.85	0.2	100	25	0	90	0	5	5	NA	NA	0	0	16	0	10	0	0	0	0	0	0	0	0	8	0	0	Litlit	7.6	6.1	3.6	non	sombre	lisse	non	0.4
b30	thomas.brazier	21septembre2017	99	b	30	53	1.85	0.2	100	25	0	90	0	5	5	NA	NA	0	0	16	0	10	0	0	0	0	0	0	0	0	8	0	0	Litlit	9.2	7.5	3.2	non	sombre	lisse	non	0.34
b30	thomas.brazier	21septembre2017	99	b	30	53	1.85	0.2	100	25	0	90	0	5	5	NA	NA	0	0	16	0	10	0	0	0	0	0	0	0	0	8	0	0	Litlit	1.9	2.6	NA	non	sombre	lisse	non	0.04
b30	thomas.brazier	21septembre2017	99	b	30	53	1.85	0.2	100	25	0	90	0	5	5	NA	NA	0	0	16	0	10	0	0	0	0	0	0	0	0	8	0	0	Litlit	3.5	6.8	2.7	non	sombre	lisse	non	0.089
b30	thomas.brazier	21septembre2017	99	b	30	53	1.85	0.2	100	25	0	90	0	5	5	NA	NA	0	0	16	0	10	0	0	0	0	0	0	0	0	8	0	0	Gibsp.	5.5	11	4.1	non	sombre	lisse	non	0.44
b30	thomas.brazier	21septembre2017	99	b	30	53	1.85	0.2	100	25	0	90	0	5	5	NA	NA	0	0	16	0	10	0	0	0	0	0	0	0	0	8	0	0	Gibsp.	6.6	11.3	4.5	non	sombre	lisse	non	0.6
b30	thomas.brazier	21septembre2017	99	b	30	53	1.85	0.2	100	25	0	90	0	5	5	NA	NA	0	0	16	0	10	0	0	0	0	0	0	0	0	8	0	0	Gibsp.	5.4	9.1	4.1	non	sombre	lisse	non	0.32
b30	thomas.brazier	21septembre2017	99	b	30	53	1.85	0.2	100	25	0	90	0	5	5	NA	NA	0	0	16	0	10	0	0	0	0	0	0	0	0	8	0	0	Gibsp.	4.4	8.5	3.4	non	sombre	lisse	non	0.173
