transect	resp	date	coef	mode	d.chenal	d.mer	alt	surf	p.roc	p.moul	p.huit	p.bala	p.alg	p.encr	p.eau	s.flaq	d.flaq	Bitret	Gibcin	Gibsp	Gibtum	Litlit	Litobt	Litrud	Litsax	Monlin	Nasinc	Naspyg	Nasret	Oceeri	Patsp	Rispar	Thalap	sp	haut	larg	peri	pred	coul	text	epizo	masse
a20	audrey.fabarez	20septembre2017	97	a	20	65	2.6	0.29	75	2	2	5	30	30	100	0.52	0.4	0	0	22	0	17	0	0	0	3	0	0	0	0	0	0	0	Litlit	11.5	9.8	3.5	non	sombre	lisse	non	0.56
a20	audrey.fabarez	20septembre2017	97	a	20	65	2.6	0.29	75	2	2	5	30	30	100	0.52	0.4	0	0	22	0	17	0	0	0	3	0	0	0	0	0	0	0	Litlit	10.1	7.5	3.4	oui	sombre	lisse	non	0.42
a20	audrey.fabarez	20septembre2017	97	a	20	65	2.6	0.29	75	2	2	5	30	30	100	0.52	0.4	0	0	22	0	17	0	0	0	3	0	0	0	0	0	0	0	Monlin	10.6	16.7	5.7	non	sombre	lisse	oui	2.06
a20	audrey.fabarez	20septembre2017	97	a	20	65	2.6	0.29	75	2	2	5	30	30	100	0.52	0.4	0	0	22	0	17	0	0	0	3	0	0	0	0	0	0	0	Monlin	11	16.1	6.2	non	sombre	lisse	oui	1.80
a20	audrey.fabarez	20septembre2017	97	a	20	65	2.6	0.29	75	2	2	5	30	30	100	0.52	0.4	0	0	22	0	17	0	0	0	3	0	0	0	0	0	0	0	Monlin	10.9	15.9	6.3	non	sombre	lisse	oui	1.66
a20	audrey.fabarez	20septembre2017	97	a	20	65	2.6	0.29	75	2	2	5	30	30	100	0.52	0.4	0	0	22	0	17	0	0	0	3	0	0	0	0	0	0	0	Monlin	12.2	17.2	6.6	non	sombre	lisse	oui	0.74
a20	audrey.fabarez	20septembre2017	97	a	20	65	2.6	0.29	75	2	2	5	30	30	100	0.52	0.4	0	0	22	0	17	0	0	0	3	0	0	0	0	0	0	0	Monlin	10.6	15.1	5.7	non	sombre	lisse	oui	2.44
a20	audrey.fabarez	20septembre2017	97	a	20	65	2.6	0.29	75	2	2	5	30	30	100	0.52	0.4	0	0	22	0	17	0	0	0	3	0	0	0	0	0	0	0	Gibsp.	6.6	13.1	4.9	non	sombre	lisse	oui	1.24
a20	audrey.fabarez	20septembre2017	97	a	20	65	2.6	0.29	75	2	2	5	30	30	100	0.52	0.4	0	0	22	0	17	0	0	0	3	0	0	0	0	0	0	0	Gibsp.	7.5	12.1	4.7	non	sombre	lisse	oui	0.68
a20	audrey.fabarez	20septembre2017	97	a	20	65	2.6	0.29	75	2	2	5	30	30	100	0.52	0.4	0	0	22	0	17	0	0	0	3	0	0	0	0	0	0	0	Gibsp.	7.8	12	4.5	non	sombre	lisse	oui	0.76
a20	audrey.fabarez	20septembre2017	97	a	20	65	2.6	0.29	75	2	2	5	30	30	100	0.52	0.4	0	0	22	0	17	0	0	0	3	0	0	0	0	0	0	0	Gibsp.	5.8	10	3.7	non	sombre	lisse	non	0.40
a20	audrey.fabarez	20septembre2017	97	a	20	65	2.6	0.29	75	2	2	5	30	30	100	0.52	0.4	0	0	22	0	17	0	0	0	3	0	0	0	0	0	0	0	Gibsp.	4	7.8	2.8	non	sombre	lisse	oui	0.14
a20	audrey.fabarez	20septembre2017	97	a	20	65	2.6	0.22	100	10	10	15	5	5	15	NA	NA	0	0	14	0	8	0	0	0	12	0	0	0	0	1	0	1	Thalap	10.7	6.2	2.3	non	clair	rugueux	non	0.20
a20	audrey.fabarez	20septembre2017	97	a	20	65	2.6	0.22	100	10	10	15	5	5	15	NA	NA	0	0	14	0	8	0	0	0	12	0	0	0	0	1	0	1	Thalap	21.5	13.5	4.9	non	clair	lisse	oui	1.72
