transect	resp	date	coef	mode	d.chenal	d.mer	alt	surf	p.roc	p.moul	p.huit	p.bala	p.alg	p.encr	p.eau	s.flaq	d.flaq	Bitret	Gibcin	Gibsp..	Gibtum	Litlit	Litobt	Litrud	Litsax	Monlin	Nasinc	Naspyg	Nasret	Oceeri	Patsp.	Rispar	Thalap	sp	haut	larg	peri	pred	coul	text	epizo	masse
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	0.55	100	5	0	90	0	0	0	NA	NA	0	0	7	0	2	0	0	0	0	0	0	0	0	7	0	0	Litlit	7.5	5.9	3.9	oui	clair	rugueux	non	0.2503
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	0.55	100	5	0	90	0	0	0	NA	NA	0	0	7	0	2	0	0	0	0	0	0	0	0	7	0	0	Litlit	8.9	5.9	2.8	oui	clair	rugueux	non	0.234
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	0.55	100	5	5	90	0	5	10	NA	NA	0	0	7	0	5	0	0	0	0	0	0	0	0	10	0	0	Gibsp.	5.7	7.8	4.2	non	sombre	lisse	non	0.3861
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	0.55	100	5	5	90	0	5	10	NA	NA	0	0	7	0	5	0	0	0	0	0	0	0	0	10	0	0	Gibsp.	7.3	13.2	5.1	non	sombre	lisse	non	0.945
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	0.55	100	5	5	90	0	5	10	NA	NA	0	0	7	0	5	0	0	0	0	0	0	0	0	10	0	0	Gibsp.	5.4	10.4	3.7	non	sombre	lisse	non	0.4106
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	0.55	100	5	5	90	0	5	10	NA	NA	0	0	7	0	5	0	0	0	0	0	0	0	0	10	0	0	Gibsp.	4.4	9.2	2.6	non	sombre	lisse	non	0.2688
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	0.55	100	5	5	90	0	5	10	NA	NA	0	0	7	0	5	0	0	0	0	0	0	0	0	10	0	0	Gibsp.	7	10.5	4.4	oui	sombre	rugueux	non	0.5784
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	0.55	100	5	5	90	0	5	10	NA	NA	0	0	7	0	5	0	0	0	0	0	0	0	0	10	0	0	Litlit	8.4	6.8	3	non	sombre	rugueux	non	0.3207
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	0.55	100	5	5	90	0	5	10	NA	NA	0	0	7	0	5	0	0	0	0	0	0	0	0	10	0	0	Litlit	8.6	7.1	3.3	oui	sombre	rugueux	non	0.3223
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	0.55	100	5	5	90	0	5	10	NA	NA	0	0	7	0	5	0	0	0	0	0	0	0	0	10	0	0	Litlit	6.4	5.3	2.5	non	sombre	rugueux	non	0.1341
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	0.55	100	5	5	90	0	5	10	NA	NA	0	0	7	0	5	0	0	0	0	0	0	0	0	10	0	0	Litlit	9.6	8	3.8	non	sombre	rugueux	oui	0.4282
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	1	50	0	50	10	5	5	50	NA	NA	0	0	21	0	6	0	0	0	0	0	0	0	0	5	0	1	Litlit	10.3	9.1	3.5	non	sombre	rugueux	non	0.4437
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	1	50	0	50	10	5	5	50	NA	NA	0	0	21	0	6	0	0	0	0	0	0	0	0	5	0	1	Litlit	7.2	8.4	3.3	non	sombre	rugueux	non	0.2924
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	1	50	0	50	10	5	5	50	NA	NA	0	0	21	0	6	0	0	0	0	0	0	0	0	5	0	1	Litlit	9.4	10	5.7	non	sombre	lisse	non	0.522
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	1	50	0	50	10	5	5	50	NA	NA	0	0	21	0	6	0	0	0	0	0	0	0	0	5	0	1	Litlit	10.3	10	4.2	non	sombre	rugueux	non	0.5999
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	1	50	0	50	10	5	5	50	NA	NA	0	0	21	0	6	0	0	0	0	0	0	0	0	5	0	1	Litlit	11.6	11	5.7	non	sombre	lisse	oui	0.6553
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	1	50	0	50	10	5	5	50	NA	NA	0	0	21	0	6	0	0	0	0	0	0	0	0	5	0	1	Gibsp.	9.4	14	4.2	oui	sombre	lisse	non	1.17
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	1	50	0	50	10	5	5	50	NA	NA	0	0	21	0	6	0	0	0	0	0	0	0	0	5	0	1	Gibsp.	8.8	14	4.8	non	sombre	lisse	non	1.18
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	1	50	0	50	10	5	5	50	NA	NA	0	0	21	0	6	0	0	0	0	0	0	0	0	5	0	1	Gibsp.	7.9	12.5	4	non	sombre	lisse	non	0.92
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	1	50	0	50	10	5	5	50	NA	NA	0	0	21	0	6	0	0	0	0	0	0	0	0	5	0	1	Gibsp.	8.3	12.7	5.5	non	sombre	lisse	non	1.04
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	1	50	0	50	10	5	5	50	NA	NA	0	0	21	0	6	0	0	0	0	0	0	0	0	5	0	1	Gibsp.	6.5	11	4.6	non	sombre	lisse	non	0.56
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	1	50	0	50	10	5	5	50	NA	NA	0	0	21	0	6	0	0	0	0	0	0	0	0	5	0	1	Thalap	21.4	12.4	4	non	sombre	rugueux	non	1.85
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.6	100	1	50	60	1	2	1	NA	NA	0	0	33	0	0	0	0	0	1	0	0	0	0	6	0	0	Monlin	16	12.76	6.2	oui	sombre	lisse	NA	1.8
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.6	100	1	50	60	1	2	1	NA	NA	0	0	33	0	0	0	0	0	1	0	0	0	0	6	0	0	Litlit	10.5	9	3.2	non	sombre	rugueux	NA	0.5
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.6	100	1	50	60	1	2	1	NA	NA	0	0	33	0	0	0	0	0	1	0	0	0	0	6	0	0	Litlit	11.8	10.9	3.5	non	sombre	rugueux	NA	0.7
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.6	100	1	50	60	1	2	1	NA	NA	0	0	33	0	0	0	0	0	1	0	0	0	0	6	0	0	Gibsp.	11.8	10.4	4.4	non	sombre	lisse	NA	0.66
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.6	100	1	50	60	1	2	1	NA	NA	0	0	33	0	0	0	0	0	1	0	0	0	0	6	0	0	Gibsp.	10.8	9.8	4.1	non	sombre	lisse	NA	0.48
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.6	100	1	50	60	1	2	1	NA	NA	0	0	33	0	0	0	0	0	1	0	0	0	0	6	0	0	Gibsp.	10.3	9.6	4.3	non	sombre	lisse	NA	0.44
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.6	100	1	50	60	1	2	1	NA	NA	0	0	33	0	0	0	0	0	1	0	0	0	0	6	0	0	Gibsp.	11.8	10.7	5.1	non	sombre	lisse	NA	0.7
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.6	100	1	50	60	1	2	1	NA	NA	0	0	33	0	0	0	0	0	1	0	0	0	0	6	0	0	Gibsp.	10	9.7	4.1	non	sombre	lisse	NA	0.36
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.6	100	1	50	60	1	2	1	NA	NA	0	0	33	0	0	0	0	0	1	0	0	0	0	6	0	0	Gibsp.	10.7	9.5	4.3	non	sombre	lisse	NA	0.4
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.6	100	1	50	60	1	2	1	NA	NA	0	0	33	0	0	0	0	0	1	0	0	0	0	6	0	0	Gibsp.	10	8.5	3.9	non	sombre	lisse	NA	0.37
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.6	100	1	50	60	1	2	1	NA	NA	0	0	33	0	0	0	0	0	1	0	0	0	0	6	0	0	Gibsp.	10.4	9.4	4.6	non	sombre	lisse	NA	0.42
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.6	100	1	50	60	1	2	1	NA	NA	0	0	33	0	0	0	0	0	1	0	0	0	0	6	0	0	Gibsp.	11.1	9.9	4.4	non	sombre	lisse	NA	0.55
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.6	100	1	50	60	1	2	1	NA	NA	0	0	33	0	0	0	0	0	1	0	0	0	0	6	0	0	Gibsp.	10.1	9.2	4.2	non	sombre	lisse	NA	0.38
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	1	1	60	10	15	0	1	NA	NA	0	0	28	0	1	0	0	0	0	0	0	0	0	11	0	0	Gibsp.	9.5	6.4	2	non	sombre	lisse	NA	0.34
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	1	1	60	10	15	0	1	NA	NA	0	0	28	0	1	0	0	0	0	0	0	0	0	11	0	0	Gibsp.	10.6	6.9	3.14	non	sombre	lisse	NA	0.47
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	1	1	60	10	15	0	1	NA	NA	0	0	28	0	1	0	0	0	0	0	0	0	0	11	0	0	Gibsp.	7.6	11.5	5.9	non	sombre	lisse	NA	0.78
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	1	1	60	10	15	0	1	NA	NA	0	0	28	0	1	0	0	0	0	0	0	0	0	11	0	0	Gibsp.	11.3	10.1	4.5	non	sombre	lisse	NA	0.57
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	1	1	60	10	15	0	1	NA	NA	0	0	28	0	1	0	0	0	0	0	0	0	0	11	0	0	Gibsp.	10.1	10	4.1	non	sombre	lisse	NA	0.51
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	1	1	60	10	15	0	1	NA	NA	0	0	28	0	1	0	0	0	0	0	0	0	0	11	0	0	Gibsp.	9.8	8.4	3.7	non	sombre	lisse	NA	0.32
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	1	1	60	10	15	0	1	NA	NA	0	0	28	0	1	0	0	0	0	0	0	0	0	11	0	0	Gibsp.	10.4	9.4	4	non	sombre	lisse	NA	0.48
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	1	1	60	10	15	0	1	NA	NA	0	0	28	0	1	0	0	0	0	0	0	0	0	11	0	0	Gibsp.	11.3	10	5	non	sombre	lisse	NA	0.64
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	1	1	60	10	15	0	1	NA	NA	0	0	28	0	1	0	0	0	0	0	0	0	0	11	0	0	Gibsp.	10.4	9.3	4.1	non	sombre	lisse	NA	0.43
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	1	1	60	10	15	0	1	NA	NA	0	0	28	0	1	0	0	0	0	0	0	0	0	11	0	0	Gibsp.	8.4	7.3	3.6	non	sombre	lisse	NA	0.18
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	1	1	60	10	15	0	1	NA	NA	0	0	28	0	1	0	0	0	0	0	0	0	0	11	0	0	Litlit	11.3	8.1	4	non	sombre	lisse	NA	0.62
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	80	1	60	50	15	15	20	NA	NA	0	0	24	0	9	0	0	0	0	0	0	0	0	8	0	2	Gibsp.	11.2	6.63	3.64	non	sombre	lisse	NA	0.6
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	80	1	60	50	15	15	20	NA	NA	0	0	24	0	9	0	0	0	0	0	0	0	0	8	0	2	Gibsp.	11.7	9.3	3.5	non	sombre	lisse	NA	0.73
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	80	1	60	50	15	15	20	NA	NA	0	0	24	0	9	0	0	0	0	0	0	0	0	8	0	2	Gibsp.	12.42	8.5	4.54	non	sombre	lisse	NA	0.83
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	80	1	60	50	15	15	20	NA	NA	0	0	24	0	9	0	0	0	0	0	0	0	0	8	0	2	Gibsp.	11	7.3	3.55	non	sombre	lisse	NA	0.7
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	80	1	60	50	15	15	20	NA	NA	0	0	24	0	9	0	0	0	0	0	0	0	0	8	0	2	Gibsp.	10.22	7	3.5	non	sombre	lisse	NA	0.4
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	80	1	60	50	15	15	20	NA	NA	0	0	24	0	9	0	0	0	0	0	0	0	0	8	0	2	Gibsp.	11.33	7	3.5	non	sombre	lisse	NA	0.55
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	80	1	60	50	15	15	20	NA	NA	0	0	24	0	9	0	0	0	0	0	0	0	0	8	0	2	Gibsp.	11.5	7.5	3.7	non	sombre	lisse	NA	0.74
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	80	1	60	50	15	15	20	NA	NA	0	0	24	0	9	0	0	0	0	0	0	0	0	8	0	2	Gibsp.	10.4	7.1	3.2	non	sombre	lisse	NA	0.38
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	80	1	60	50	15	15	20	NA	NA	0	0	24	0	9	0	0	0	0	0	0	0	0	8	0	2	Gibsp.	12.1	10	3.5	non	sombre	lisse	NA	0.71
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	80	1	60	50	15	15	20	NA	NA	0	0	24	0	9	0	0	0	0	0	0	0	0	8	0	2	Litlit	12.2	9.9	6.3	non	sombre	lisse	NA	1.9
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	80	1	60	50	15	15	20	NA	NA	0	0	24	0	9	0	0	0	0	0	0	0	0	8	0	2	Litlit	10.9	9	4.2	non	sombre	lisse	NA	0.72
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	80	1	60	50	15	15	20	NA	NA	0	0	24	0	9	0	0	0	0	0	0	0	0	8	0	2	Litlit	12	10	6.3	non	sombre	lisse	NA	1.01
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	80	1	60	50	15	15	20	NA	NA	0	0	24	0	9	0	0	0	0	0	0	0	0	8	0	2	Litlit	12.4	9.8	5.7	non	sombre	lisse	NA	0.8
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	80	1	60	50	15	15	20	NA	NA	0	0	24	0	9	0	0	0	0	0	0	0	0	8	0	2	Litlit	13	10.6	5.6	non	sombre	lisse	NA	0.99
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	80	1	60	50	15	15	20	NA	NA	0	0	24	0	9	0	0	0	0	0	0	0	0	8	0	2	Litlit	10.4	8.1	4.9	non	sombre	lisse	NA	0.63
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	80	1	60	50	15	15	20	NA	NA	0	0	24	0	9	0	0	0	0	0	0	0	0	8	0	2	Litlit	13.7	11.3	6.3	non	sombre	lisse	NA	1.05
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	80	1	60	50	15	15	20	NA	NA	0	0	24	0	9	0	0	0	0	0	0	0	0	8	0	2	Litlit	14.1	10.4	5.3	non	sombre	lisse	NA	1.05
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	80	1	60	50	15	15	20	NA	NA	0	0	24	0	9	0	0	0	0	0	0	0	0	8	0	2	Litlit	12.8	10.4	5.5	non	sombre	lisse	NA	0.92
