transect	resp	date	coef	mode	d.chenal	d.mer	alt	surf	p.roc	p.moul	p.huit	p.bala	p.alg	p.encr	p.eau	s.flaq	d.flaq	Bitret	Gibcin	Gibsp..	Gibtum	Litlit	Litobt	Litrud	Litsax	Monlin	Nasinc	Naspyg	Nasret	Oceeri	Patsp.	Rispar	Thalap	sp	haut	larg	peri	pred	coul	text	epizo	masse
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.55	80	2	10	70	5	5	5	NA	NA	0	0	28	0	6	0	0	0	0	0	0	0	0	0	0	0	Gibsp.	5.3	10.3	3.9	non	sombre	lisse	non	0.38
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.55	80	2	10	70	5	5	5	NA	NA	0	0	28	0	6	0	0	0	0	0	0	0	0	0	0	0	Gibsp.	5.7	9.3	3.7	non	sombre	lisse	non	0.43
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.55	80	2	10	70	5	5	5	NA	NA	0	0	28	0	6	0	0	0	0	0	0	0	0	0	0	0	Gibsp.	8	10.7	4.9	non	sombre	lisse	non	0.71
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.55	80	2	10	70	5	5	5	NA	NA	0	0	28	0	6	0	0	0	0	0	0	0	0	0	0	0	Gibsp.	6.4	9.7	4.5	non	sombre	lisse	non	0.57
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.55	80	2	10	70	5	5	5	NA	NA	0	0	28	0	6	0	0	0	0	0	0	0	0	0	0	0	Gibsp.	7.9	12.1	4.3	non	sombre	lisse	non	1.06
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.55	80	2	10	70	5	5	5	NA	NA	0	0	28	0	6	0	0	0	0	0	0	0	0	0	0	0	Litlit	15.5	12.1	6.9	non	sombre	rugueux	non	1.34
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.55	80	2	10	70	5	5	5	NA	NA	0	0	28	0	6	0	0	0	0	0	0	0	0	0	0	0	Litlit	14.2	11.3	6.1	non	sombre	rugueux	non	1.16
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.55	80	2	10	70	5	5	5	NA	NA	0	0	28	0	6	0	0	0	0	0	0	0	0	0	0	0	Litlit	11.1	8.7	4.7	non	sombre	rugueux	non	0.65
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.55	80	2	10	70	5	5	5	NA	NA	0	0	28	0	6	0	0	0	0	0	0	0	0	0	0	0	Litlit	11.1	9.2	4.5	non	sombre	rugueux	non	0.7
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.55	80	2	10	70	5	5	5	NA	NA	0	0	28	0	6	0	0	0	0	0	0	0	0	0	0	0	Litlit	9.2	7.4	4.1	non	sombre	rugueux	non	0.39
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.7	95	2	30	90	0	0	3	NA	NA	0	0	29	0	3	0	0	0	20	0	0	0	0	0	0	1	Gibsp.	11.9	14.9	8.4	non	sombre	lisse	NA	1.8204
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.7	95	2	30	90	0	0	3	NA	NA	0	0	29	0	3	0	0	0	20	0	0	0	0	0	0	1	Gibsp.	9.52	14.9	7	non	sombre	lisse	NA	1.5604
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.7	95	2	30	90	0	0	3	NA	NA	0	0	29	0	3	0	0	0	20	0	0	0	0	0	0	1	Gibsp.	11.2	18.76	7.11	non	sombre	lisse	NA	2.3735
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.7	95	2	30	90	0	0	3	NA	NA	0	0	29	0	3	0	0	0	20	0	0	0	0	0	0	1	Gibsp.	12.72	18.1	7.7	non	sombre	lisse	NA	2.4079
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.7	95	2	30	90	0	0	3	NA	NA	0	0	29	0	3	0	0	0	20	0	0	0	0	0	0	1	Gibsp.	9.36	15.52	6.7	non	sombre	lisse	NA	1.6317
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.7	95	2	30	90	0	0	3	NA	NA	0	0	29	0	3	0	0	0	20	0	0	0	0	0	0	1	Gibsp.	9.2	16.1	7	non	sombre	lisse	NA	1.5099
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.7	95	2	30	90	0	0	3	NA	NA	0	0	29	0	3	0	0	0	20	0	0	0	0	0	0	1	Gibsp.	9.7	14.2	6.72	non	sombre	lisse	NA	1.2338
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.7	95	2	30	90	0	0	3	NA	NA	0	0	29	0	3	0	0	0	20	0	0	0	0	0	0	1	Gibsp.	8.1	12.9	4.9	non	sombre	lisse	NA	0.655
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.7	95	2	30	90	0	0	3	NA	NA	0	0	29	0	3	0	0	0	20	0	0	0	0	0	0	1	Gibsp.	8.76	12.56	5.72	non	sombre	lisse	NA	0.7407
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.7	95	2	30	90	0	0	3	NA	NA	0	0	29	0	3	0	0	0	20	0	0	0	0	0	0	1	Gibsp.	8.9	12.1	4.1	non	clair	lisse	NA	0.6878
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.7	95	2	30	90	0	0	3	NA	NA	0	0	29	0	3	0	0	0	20	0	0	0	0	0	0	1	Gibsp.	7.6	10.8	3.9	non	clair	lisse	NA	0.5751
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.7	95	2	30	90	0	0	3	NA	NA	0	0	29	0	3	0	0	0	20	0	0	0	0	0	0	1	Gibsp.	5.44	9.64	3.98	non	clair	lisse	NA	0.3804
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.7	95	2	30	90	0	0	3	NA	NA	0	0	29	0	3	0	0	0	20	0	0	0	0	0	0	1	Gibsp.	7.7	11.8	5.6	non	clair	lisse	NA	0.7327
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.7	95	2	30	90	0	0	3	NA	NA	0	0	29	0	3	0	0	0	20	0	0	0	0	0	0	1	Gibsp.	5.5	8.6	4.9	non	sombre	lisse	non	0.3636
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.7	95	2	30	90	0	0	3	NA	NA	0	0	29	0	3	0	0	0	20	0	0	0	0	0	0	1	Thalap	22.2	13.4	4.5	non	rayures	lisse	non	2.2715
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.75	15	5	10	10	0	5	70	NA	NA	0	0	32	0	19	0	0	2	3	0	0	0	0	0	0	0	Gibsp.	9.7	10.3	7.1	oui	sombre	rugueux	oui	1.59
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.75	15	5	10	10	0	5	70	NA	NA	0	0	32	0	19	0	0	2	3	0	0	0	0	0	0	0	Gibsp.	10.1	13.6	4.7	oui	sombre	lisse	non	1.1116
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.75	15	5	10	10	0	5	70	NA	NA	0	0	32	0	19	0	0	2	3	0	0	0	0	0	0	0	Gibsp.	10.8	12	5.4	oui	sombre	lisse	non	0.6888
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.75	15	5	10	10	0	5	70	NA	NA	0	0	32	0	19	0	0	2	3	0	0	0	0	0	0	0	Gibsp.	4.7	8.9	3.3	non	sombre	rugueux	non	0.2871
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.75	15	5	10	10	0	5	70	NA	NA	0	0	32	0	19	0	0	2	3	0	0	0	0	0	0	0	Gibsp.	6.1	9.9	4.5	non	sombre	rugueux	non	0.3933
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.75	15	5	10	10	0	5	70	NA	NA	0	0	32	0	19	0	0	2	3	0	0	0	0	0	0	0	Gibsp.	7	11.5	4.3	oui	rayures	lisse	non	0.5614
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.75	15	5	10	10	0	5	70	NA	NA	0	0	32	0	19	0	0	2	3	0	0	0	0	0	0	0	Gibsp.	7.2	10.5	3.6	oui	rayures	lisse	non	0.489
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.75	15	5	10	10	0	5	70	NA	NA	0	0	32	0	19	0	0	2	3	0	0	0	0	0	0	0	Gibsp.	3.9	8.3	2.4	non	sombre	lisse	non	0.4363
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.75	15	5	10	10	0	5	70	NA	NA	0	0	32	0	19	0	0	2	3	0	0	0	0	0	0	0	Gibsp.	6.1	9.4	3.3	non	rayures	rugueux	non	0.1827
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.75	15	5	10	10	0	5	70	NA	NA	0	0	32	0	19	0	0	2	3	0	0	0	0	0	0	0	Gibsp.	4.7	7.2	3.2	non	rayures	rugueux	non	0.5037
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.75	15	5	10	10	0	5	70	NA	NA	0	0	32	0	19	0	0	2	3	0	0	0	0	0	0	0	Litlit	11.1	8.3	4.7	oui	sombre	rugueux	oui	0.4146
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.75	15	5	10	10	0	5	70	NA	NA	0	0	32	0	19	0	0	2	3	0	0	0	0	0	0	0	Litlit	10.1	12.3	4.7	non	sombre	rugueux	oui	0.4065
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.75	15	5	10	10	0	5	70	NA	NA	0	0	32	0	19	0	0	2	3	0	0	0	0	0	0	0	Litlit	9.9	7.1	4.2	non	sombre	rugueux	non	0.3932
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.75	15	5	10	10	0	5	70	NA	NA	0	0	32	0	19	0	0	2	3	0	0	0	0	0	0	0	Litlit	10.1	8.1	3.1	non	clair	rugueux	non	0.2154
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.75	15	5	10	10	0	5	70	NA	NA	0	0	32	0	19	0	0	2	3	0	0	0	0	0	0	0	Litlit	8.2	6	2.5	non	rayures	rugueux	non	0.2592

b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.75	15	5	10	10	0	5	70	NA	NA	0	0	32	0	19	0	0	2	3	0	0	0	0	0	0	0	Litlit	8.7	7.5	3.6	non	rayures	rugueux	non	0.1229
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	0.75	15	5	10	10	0	5	70	NA	NA	0	0	32	0	19	0	0	2	3	0	0	0	0	0	0	0	Litlit	6.8	5.8	2	non	NA	NA	NA	NA
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	0.55	100	5	0	90	0	0	0	NA	NA	0	0	7	0	2	0	0	0	0	0	0	0	0	7	0	0	Gibsp.	8	12.1	4.2	oui	sombre	rugueux	non	0.6727
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	0.55	100	5	0	90	0	0	0	NA	NA	0	0	7	0	2	0	0	0	0	0	0	0	0	7	0	0	Gibsp.	6.6	10.8	4.8	non	clair	rugueux	non	0.5716
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	0.55	100	5	0	90	0	0	0	NA	NA	0	0	7	0	2	0	0	0	0	0	0	0	0	7	0	0	Gibsp.	3.2	6.5	2.4	non	clair	rugueux	non	0.1171
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	0.55	100	5	0	90	0	0	0	NA	NA	0	0	7	0	2	0	0	0	0	0	0	0	0	7	0	0	Gibsp.	7.2	11.6	4.1	non	clair	rugueux	oui	0.641
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	0.55	100	5	0	90	0	0	0	NA	NA	0	0	7	0	2	0	0	0	0	0	0	0	0	7	0	0	Gibsp.	4.8	8.9	5.6	non	clair	rugueux	oui	0.3841
