transect	resp	date	coef	mode	d.chenal	d.mer	alt	surf	p.roc	p.moul	p.huit	p.bala	p.alg	p.encr	p.eau	s.flaq	d.flaq	Bitret	Gibcin	Gibsp.	Gibtum	Litlit	Litobt	Litrud	Litsax	Monlin	Nasinc	Naspyg	Nasret	Oceeri	Patsp.	Rispar	Thalap	sp	haut	larg	peri	pred	coul	text	epizo	masse
a30	morgane.milin	21septembre2017	99	a	30	70	3.5	0.24	100	15	5	90	50	NA	75	0.15	0.4	0	0	9	0	2	0	0	0	3	0	0	0	0	5	0	8	Monlin	16.1	14.5	5.6	oui	sombre	lisse	non	1.84
a30	morgane.milin	21septembre2017	99	a	30	70	3.5	0.24	100	15	5	90	50	NA	75	0.15	0.4	0	0	9	0	2	0	0	0	3	0	0	0	0	5	0	8	Monlin	15.6	14.2	5.6	non	sombre	lisse	non	1.60
a30	morgane.milin	21septembre2017	99	a	30	70	3.5	0.24	100	15	5	90	50	NA	75	0.15	0.4	0	0	9	0	2	0	0	0	3	0	0	0	0	5	0	8	Monlin	16.3	15.8	6.7	oui	sombre	lisse	non	1.94
a30	morgane.milin	21septembre2017	99	a	30	70	3.5	0.24	100	15	5	90	50	NA	75	0.15	0.4	0	0	9	0	2	0	0	0	3	0	0	0	0	5	0	8	Gibsp.	12.0	11.0	3.9	non	sombre	lisse	non	0.86
a30	morgane.milin	21septembre2017	99	a	30	70	3.5	0.24	100	15	5	90	50	NA	75	0.15	0.4	0	0	9	0	2	0	0	0	3	0	0	0	0	5	0	8	Gibsp.	12.7	10.9	4.1	non	sombre	lisse	non	0.76
a30	morgane.milin	21septembre2017	99	a	30	70	3.5	0.24	100	15	5	90	50	NA	75	0.15	0.4	0	0	9	0	2	0	0	0	3	0	0	0	0	5	0	8	Gibsp.	12.4	11.6	4.8	non	sombre	lisse	non	0.80
a30	morgane.milin	21septembre2017	99	a	30	70	3.5	0.24	100	15	5	90	50	NA	75	0.15	0.4	0	0	9	0	2	0	0	0	3	0	0	0	0	5	0	8	Gibsp.	8.6	7.4	NA	non	sombre	lisse	non	0.28
a30	morgane.milin	21septembre2017	99	a	30	70	3.5	0.24	100	15	5	90	50	NA	75	0.15	0.4	0	0	9	0	2	0	0	0	3	0	0	0	0	5	0	8	Gibsp.	11.9	11.3	4.1	non	sombre	lisse	non	0.66
a30	morgane.milin	21septembre2017	99	a	30	70	3.5	0.24	100	15	5	90	50	NA	75	0.15	0.4	0	0	9	0	2	0	0	0	3	0	0	0	0	5	0	8	Thalap	25.3	15.8	4.7	non	sombre	lisse	non	2.50
a30	morgane.milin	21septembre2017	99	a	30	70	3.5	0.24	100	15	5	90	50	NA	75	0.15	0.4	0	0	9	0	2	0	0	0	3	0	0	0	0	5	0	8	Thalap	25.9	15.5	4.1	non	sombre	rugueux	non	3.22
a30	morgane.milin	21septembre2017	99	a	30	70	3.5	0.24	100	15	5	90	50	NA	75	0.15	0.4	0	0	9	0	2	0	0	0	3	0	0	0	0	5	0	8	Thalap	25.5	15.9	5.0	non	rayures	rugueux	non	2.68
a30	morgane.milin	21septembre2017	99	a	30	70	3.5	0.24	100	15	5	90	50	NA	75	0.15	0.4	0	0	9	0	2	0	0	0	3	0	0	0	0	5	0	8	Thalap	24.5	14.9	4.7	non	rayures	lisse	non	2.62
a30	morgane.milin	21septembre2017	99	a	30	70	3.5	0.24	100	15	5	90	50	NA	75	0.15	0.4	0	0	9	0	2	0	0	0	3	0	0	0	0	5	0	8	Thalap	21.5	13.1	3.4	non	clair	rugueux	non	1.94
a30	morgane.milin	21septembre2017	99	a	30	70	3.5	0.24	100	15	5	90	50	NA	75	0.15	0.4	0	0	9	0	2	0	0	0	3	0	0	0	0	5	0	8	Litlit	14.0	11.1	5.1	oui	sombre	rugueux	non	1.24
a30	morgane.milin	21septembre2017	99	a	30	70	3.5	0.24	100	15	5	90	50	NA	75	0.15	0.4	0	0	9	0	2	0	0	0	3	0	0	0	0	5	0	8	Litlit	11.4	9.3	4.3	non	rayures	rugueux	non	0.72
a30	morgane.milin	21septembre2017	99	a	30	70	3.5	0.27	100	20	5	80	0	0	2	NA	NA	0	0	12	0	2	0	0	0	3	0	0	0	0	10	0	0	Monlin	13.2	11.3	6.2	oui	sombre	lisse	non	0.92
