transect	resp	date	coef	mode	d.chenal	d.mer	alt	surf	p.roc 	p.moul	p.huit	p.bala	p.alg	p.encr	p.eau	s.flaq	d.flaq	Bitret	Gibcin	Gibsp.	Gibtum	Litlit	Litobt	Litrud	Litsax	Monlin	Nasinc	Naspyg	Nasret	Oceeri	Patsp.	Rispar	Thalap	sp	haut	larg	peri	pred	coul	text	epizo	masse
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	65	1.7	0.20	95	1	20	15	60	10	80	1.57	5	0	0	11	0	14	0	0	0	0	0	0	0	0	0	0	0	Litlit	13.3	11.3	3.8	non	sombre	lisse	non	0.90
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	65	1.7	0.20	95	1	20	15	60	10	80	1.57	5	0	0	11	0	14	0	0	0	0	0	0	0	0	0	0	0	Litlit	10.6	8.5	3.4	non	sombre	lisse	non	0.38
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	65	1.7	0.20	95	1	20	15	60	10	80	1.57	5	0	0	11	0	14	0	0	0	0	0	0	0	0	0	0	0	Litlit	11.9	10.0	3.7	oui	sombre	lisse	non	0.70
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	65	1.7	0.20	95	1	20	15	60	10	80	1.57	5	0	0	11	0	14	0	0	0	0	0	0	0	0	0	0	0	Litlit	14.8	12.2	4.8	oui	sombre	lisse	non	1.10
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	65	1.7	0.20	95	1	20	15	60	10	80	1.57	5	0	0	11	0	14	0	0	0	0	0	0	0	0	0	0	0	Litlit	11.6	9.8	3.7	non	sombre	lisse	non	0.58
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	65	1.7	0.20	95	1	20	15	60	10	80	1.57	5	0	0	11	0	14	0	0	0	0	0	0	0	0	0	0	0	Litlit	11.1	9.7	3.9	oui	sombre	lisse	non	0.54
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	65	1.7	0.20	95	1	20	15	60	10	80	1.57	5	0	0	11	0	14	0	0	0	0	0	0	0	0	0	0	0	Litlit	11.0	9.0	3.3	non	sombre	lisse	non	0.48
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	65	1.7	0.20	95	1	20	15	60	10	80	1.57	5	0	0	11	0	14	0	0	0	0	0	0	0	0	0	0	0	Litlit	9.9	8.5	3.2	oui	sombre	lisse	non	0.34
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	65	1.7	0.20	95	1	20	15	60	10	80	1.57	5	0	0	11	0	14	0	0	0	0	0	0	0	0	0	0	0	Litlit	9.9	8.3	3.0	non	sombre	lisse	non	0.32
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	65	1.7	0.20	95	1	20	15	60	10	80	1.57	5	0	0	11	0	14	0	0	0	0	0	0	0	0	0	0	0	Litlit	10.2	9.1	3.4	non	sombre	lisse	non	0.36
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	65	1.7	0.20	95	1	20	15	60	10	80	1.57	5	0	0	11	0	14	0	0	0	0	0	0	0	0	0	0	0	Gibsp.	6.8	10.9	3.2	non	sombre	lisse	non	0.48
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	65	1.7	0.20	95	1	20	15	60	10	80	1.57	5	0	0	11	0	14	0	0	0	0	0	0	0	0	0	0	0	Gibsp.	8.9	12.7	4.2	non	sombre	lisse	non	0.96
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	65	1.7	0.20	95	1	20	15	60	10	80	1.57	5	0	0	11	0	14	0	0	0	0	0	0	0	0	0	0	0	Gibsp.	8.3	12.1	4.1	non	sombre	lisse	non	0.76
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	65	1.7	0.20	95	1	20	15	60	10	80	1.57	5	0	0	11	0	14	0	0	0	0	0	0	0	0	0	0	0	Gibsp.	8.6	13.0	4.5	non	sombre	lisse	non	0.96
