transect	resp	date	coef	mode	d.chenal	d.mer	alt	surf	p.roc	p.moul	p.huit	p.bala	p.alg	p.encr	p.eau	s.flaq	d.flaq	Bitret	Gibcin	Gibsp.	Gibtum	Litlit	Litobt	Litrud	Litsax	Monlin	Nasinc	Naspyg	Nasret	Oceeri	Patsp.	Rispar	Thalap	sp	haut	larg	peri	pred	coul	text	epizo	masse
b90	camille.pilisi	21septembre2017	99	b	90	15	0.75	0.01533979	100	0	0	0	0	100	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	Gibsp.	12.6	13.9	5.8	non	sombre	lisse	non	1.12
b90	camille.pilisi	21septembre2017	99	b	90	15	0.75	0.01533979	100	0	0	0	0	100	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	Gibsp.	10.1	13.2	5.8	non	rayures	lisse	non	0.99
b90	camille.pilisi	21septembre2017	99	b	90	15	0.75	0.01533979	100	0	0	0	0	100	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	Gibsp.	10.5	13.3	6.2	oui	sombre	lisse	non	0.95
b90	camille.pilisi	21septembre2017	99	b	90	15	0.75	0.01533979	100	0	0	0	0	100	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	Gibsp.	7.7	11.3	4.6	non	rayures	lisse	non	0.45
b90	camille.pilisi	21septembre2017	99	b	90	15	0.75	0.01533979	100	0	0	0	0	100	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	Gibsp.	13.7	14.6	7.0	non	rayures	lisse	non	1.3
b90	camille.pilisi	21septembre2017	99	b	90	15	0.75	0.01227184	0	0	0	0	0	60	50	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Gibsp.	6.8	8.9	NA	non	sombre	lisse	NA	0.1882
b90	camille.pilisi	21septembre2017	99	b	90	20	0.75	0.01840775	100	0	0	0	0	50	80	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	Gibsp.	10.3	13.2	6.2	oui	rayures	lisse	NA	0.9397
b90	camille.pilisi	21septembre2017	99	b	90	20	0.75	0.01840775	100	0	0	0	0	50	80	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	Gibsp.	12.9	12.9	6.1	non	sombre	lisse	NA	1.3318
b90	camille.pilisi	21septembre2017	99	b	90	20	0.75	0.01840775	100	0	0	0	0	50	80	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	Gibsp.	11.4	14.4	6.2	non	sombre	lisse	NA	1.1563
b90	camille.pilisi	21septembre2017	99	b	90	20	0.75	0.01840775	100	0	0	0	0	50	80	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	Gibsp.	14.4	14.2	6.2	non	rayures	lisse	NA	1.4022
