transect	resp	date	coef	mode	d.chenal	d.mer	alt	surf	p.roc 	p.moul	p.huit	p.bala	p.alg	p.encr	p.eau	s.flaq	d.flaq	Bitret	Gibcin	Gibsp.	Gibtum	Litlit	Litobt	Litrud	Litsax	Monlin	Nasinc	Naspyg	Nasret	Oceeri	Patsp.	Rispar	Thalap
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	65	1.7	0.20	95	1	20	15	60	10	80	1.57	5	0	0	11	0	14	0	0	0	0	0	0	0	0	0	0	0
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	65	1.7	0.24	75	5	30	30	15	2	40	1.57	5	0	1	28	0	0	0	0	0	0	0	0	0	0	0	0	0
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	65	1.7	0.22	100	10	20	90	1	0	2	NA	NA	0	1	15	0	155	0	0	0	0	0	0	0	0	0	0	0
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	60	1.7	0.20	90	0	20	70	0	0	60	NA	NA	0	1	22	0	9	0	0	0	0	0	0	0	0	0	0	0
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	60	1.7	0.29	100	0	40	80	15	0	0	NA	NA	0	14	15	0	5	0	0	0	0	0	0	0	0	0	0	5
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	60	1.7	0.34	70	0	40	15	15	1	60	19.63	5	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	1
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	55	1.6	0.22	90	0	20	1	60	2	20	1.37	5	0	0	18	0	7	0	0	0	0	0	0	0	0	0	0	2
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	55	1.6	0.25	95	1	50	20	55	0	5	NA	NA	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	1
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	55	1.6	0.24	100	0	60	80	20	0	0	NA	NA	0	0	30	0	4	0	0	0	0	0	0	0	0	0	0	2
a50	justine.charlet-de-sauvage	21septembre2017	99	a	50	50	1.5	0.34	5	0	40	70	40	0	10	NA	NA	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4
