transect	resp	date	coef	mode	d.chenal	d.mer	alt	surf	p.roc	p.moul	p.huit	p.bala	p.alg	p.encr	p.eau	s.flaq	d.flaq	Bitret 	Gibcin 	Gibsp.	Gibtum 	Litlit 	Litobt 	Litrud 	Litsax 	Monlin 	Nasinc  	Naspyg	Nasret 	Oceeri 	Patsp	Rispar 	Thalap 	sp	haut	larg	peri	pred	coul	text	Epizoaires	masse
b0	julien.curassier	20septembre2017	97	b	0	93.9	2.2	0.19	100	20	10	99	1	0	0	0.00	5.0	0	0	13	0	1	0	0	0	0	0	0	0	0	3	0	1	Thalap	21.8	13.12	4.1	0	clair	rugueux	0	1.6
b0	julien.curassier	20septembre2017	97	b	0	93.9	2.2	0.19	100	20	10	99	1	0	0	0.00	5.0	0	0	13	0	1	0	0	0	0	0	0	0	0	3	0	1	Litlit	10.38	9.1	4.1	0	sombre	lisse	1	0.54
b0	julien.curassier	20septembre2017	97	b	0	93.9	2.2	0.19	100	20	10	99	1	0	0	0.00	5.0	0	0	13	0	1	0	0	0	0	0	0	0	0	3	0	1	Litlit	11.53	12.1	4	0	sombre	lisse	1	0.86
b0	julien.curassier	20septembre2017	97	b	0	93.9	2.2	0.19	100	20	10	99	1	0	0	0.00	5.0	0	0	13	0	1	0	0	0	0	0	0	0	0	3	0	1	Litlit	11.6	11.19	6.3	0	sombre	lisse	0	0.62
b0	julien.curassier	20septembre2017	97	b	0	93.9	2.2	0.19	100	20	10	99	1	0	0	0.00	5.0	0	0	13	0	1	0	0	0	0	0	0	0	0	3	0	1	Gibsp.	7	11.3	4.9	0	clair	lisse	1	0.72
b0	julien.curassier	20septembre2017	97	b	0	93.9	2.2	0.19	100	20	10	99	1	0	0	0.00	5.0	0	0	13	0	1	0	0	0	0	0	0	0	0	3	0	1	Gibsp.	13.8	15.4	7.44	0	sombre	lisse	1	2.08
b0	julien.curassier	20septembre2017	97	b	0	93.9	2.2	0.19	100	20	10	99	1	0	0	0.00	5.0	0	0	13	0	1	0	0	0	0	0	0	0	0	3	0	1	Gibsp.	9.7	16.1	5.6	0	sombre	lisse	1	1.42
b0	julien.curassier	20septembre2017	97	b	0	93.9	2.2	0.19	100	20	10	99	1	0	0	0.00	5.0	0	0	13	0	1	0	0	0	0	0	0	0	0	3	0	1	Gibsp.	8.5	13.9	4.71	0	sombre	lisse	1	1
b0	julien.curassier	20septembre2017	97	b	0	93.9	2.2	0.19	100	20	10	99	1	0	0	0.00	5.0	0	0	13	0	1	0	0	0	0	0	0	0	0	3	0	1	Gibsp.	3.24	12.53	6.09	0	sombre	lisse	1	0.82
b0	julien.curassier	20septembre2017	97	b	0	93.9	2.2	0.19	100	20	10	99	1	0	0	0.00	5.0	0	0	13	0	1	0	0	0	0	0	0	0	0	3	0	1	Thalap	25.6	16.3	6.2	0	clair	lisse	1	2.72
b0	julien.curassier	20septembre2017	97	b	0	93.9	2.2	0.19	100	20	10	99	1	0	0	0.00	5.1	0	0	13	0	1	0	0	0	0	0	0	0	0	3	0	1	Thalap	23.42	14.43	10.1	0	clair	lisse	1	2.06
b0	julien.curassier	20septembre2017	97	b	0	93.8	2.0	0.25	100	5	5	100	0	0	0	0.00	5.0	0	0	23	0	4	0	0	0	10	0	0	0	0	0	0	13	Thalap	20	11	4	0	clair	rugueux	1	1.74
b0	julien.curassier	20septembre2017	97	b	0	93.8	2.0	0.25	100	5	5	100	0	0	0	0.00	5.0	0	0	23	0	4	0	0	0	10	0	0	0	0	0	0	13	Thalap	23.52	14.82	6.6	0	clair	lisse	1	2.1
b0	julien.curassier	20septembre2017	97	b	0	93.8	2.0	0.25	100	5	5	100	0	0	0	0.00	5.0	0	0	23	0	4	0	0	0	10	0	0	0	0	0	0	13	Thalap	21.6	12.7	4.31	0	clair	rugueux	0	1.74
b0	julien.curassier	20septembre2017	97	b	0	93.8	2.0	0.25	100	5	5	100	0	0	0	0.00	5.0	0	0	23	0	4	0	0	0	10	0	0	0	0	0	0	13	Gibsp.	11.3	12.89	7.49	0	sombre	lisse	1	1.94
b0	julien.curassier	20septembre2017	97	b	0	93.8	2.0	0.25	100	5	5	100	0	0	0	0.00	5.0	0	0	23	0	4	0	0	0	10	0	0	0	0	0	0	13	Gibsp.	7.26	10.9	4.81	0	sombre	lisse	1	0.8
b0	julien.curassier	20septembre2017	97	b	0	93.8	2.0	0.25	100	5	5	100	0	0	0	0.00	5.0	0	0	23	0	4	0	0	0	10	0	0	0	0	0	0	13	Gibsp.	8.6	9.51	5.6	0	sombre	lisse	1	1.1
b0	julien.curassier	20septembre2017	97	b	0	93.8	2.0	0.25	100	5	5	100	0	0	0	0.00	5.0	0	0	23	0	4	0	0	0	10	0	0	0	0	0	0	13	Gibsp.	11.58	18.64	4	0	sombre	lisse	1	2.54
b0	julien.curassier	20septembre2017	97	b	0	93.8	2.0	0.25	100	5	5	100	0	0	0	0.00	5.0	0	0	23	0	4	0	0	0	10	0	0	0	0	0	0	13	Gibsp.	7.29	11.8	5.91	0	sombre	lisse	1	0.76
b0	julien.curassier	20septembre2017	97	b	0	93.8	2.0	0.25	100	5	5	100	0	0	0	0.00	5.0	0	0	23	0	4	0	0	0	10	0	0	0	0	0	0	13	Litlit	12.8	11.6	4.32	0	sombre	lisse	1	0.76
b0	julien.curassier	20septembre2017	97	b	0	93.8	2.0	0.25	100	5	5	100	0	0	0	0.00	5.0	0	0	23	0	4	0	0	0	10	0	0	0	0	0	0	13	Litlit	12.9	9.9	4.71	0	sombre	lisse	1	0.74
b0	julien.curassier	20septembre2017	97	b	0	93.8	2.0	0.25	100	5	5	100	0	0	0	0.00	5.0	0	0	23	0	4	0	0	0	10	0	0	0	0	0	0	13	Litlit	11.1	8.9	3.74	0	sombre	lisse	0	0.56
b0	julien.curassier	20septembre2017	97	b	0	93.8	2.0	0.25	100	5	5	100	0	0	0	0.00	5.0	0	0	23	0	4	0	0	0	10	0	0	0	0	0	0	13	Litlit	10.7	9.51	4.4	0	sombre	lisse	0	0.6
b0	julien.curassier	20septembre2017	97	b	0	94.3	2.2	0.21	100	10	10	100	30	0	0	0.00	6.0	0	0	31	0	2	0	0	0	8	0	0	0	0	0	0	0	Gibmon	10.7	14.82	6.9	0	sombre	lisse	1	1.66
b0	julien.curassier	20septembre2017	97	b	0	94.3	2.2	0.21	100	10	10	100	30	0	0	0.00	6.0	0	0	31	0	2	0	0	0	8	0	0	0	0	0	0	0	Gibmon	13.00	17	7.5	0	sombre	lisse	1	2.28
b0	julien.curassier	20septembre2017	97	b	0	94.3	2.2	0.21	100	10	10	100	30	0	0	0.00	6.0	0	0	31	0	2	0	0	0	8	0	0	0	0	0	0	0	Gibmon	9.8	13	4.9	0	sombre	lisse	1	0.96
b0	julien.curassier	20septembre2017	97	b	0	94.3	2.2	0.21	100	10	10	100	30	0	0	0.00	6.0	0	0	31	0	2	0	0	0	8	0	0	0	0	0	0	0	Gibmon	8.9	13.1	4.7	0	sombre	lisse	0	1.04
b0	julien.curassier	20septembre2017	97	b	0	94.3	2.2	0.21	100	10	10	100	30	0	0	0.00	6.0	0	0	31	0	2	0	0	0	8	0	0	0	0	0	0	0	Gibmon	9.81	14.9	6.8	0	sombre	lisse	1	1.4
b0	julien.curassier	20septembre2017	97	b	0	94.3	2.2	0.21	100	10	10	100	30	0	0	0.00	6.0	0	0	31	0	2	0	0	0	8	0	0	0	0	0	0	0	Gibsp.	8.22	12.36	5.00	0	sombre	lisse	1	0.96
b0	julien.curassier	20septembre2017	97	b	0	94.3	2.2	0.21	100	10	10	100	30	0	0	0.00	6.0	0	0	31	0	2	0	0	0	8	0	0	0	0	0	0	0	Gibsp.	12.7	12.3	4.80	0	sombre	lisse	0	0.74
b0	julien.curassier	20septembre2017	97	b	0	94.3	2.2	0.21	100	10	10	100	30	0	0	0.00	6.0	0	0	31	0	2	0	0	0	8	0	0	0	0	0	0	0	Gibsp.	7.3	12.2	4.3	0	sombre	lisse	0	0.2
b0	julien.curassier	20septembre2017	97	b	0	94.3	2.2	0.21	100	10	10	100	30	0	0	0.00	6.0	0	0	31	0	2	0	0	0	8	0	0	0	0	0	0	0	Gibsp.	8	12.1	4.4	0	sombre	lisse	0	0.22
b0	julien.curassier	20septembre2017	97	b	0	94.3	2.2	0.21	100	10	10	100	30	0	0	0.00	6.0	0	0	31	0	2	0	0	0	8	0	0	0	0	0	0	0	Gibsp.	9.4	12.1	4.4	0	sombre	lisse	1	0.14
b0	julien.curassier	20septembre2017	97	b	0	94.3	2.2	0.21	100	10	10	100	30	0	0	0.00	6.0	0	0	31	0	2	0	0	0	8	0	0	0	0	0	0	0	Litlit	13.80	11.8	6.00	0	sombre	lisse	0	1.08
b0	julien.curassier	20septembre2017	97	b	0	94.3	2.2	0.21	100	10	10	100	30	0	0	0.00	6.0	0	0	31	0	2	0	0	0	8	0	0	0	0	0	0	0	Litlit	12.3	11.00	5.20	0	sombre	lisse	0	0.86
b0	julien.curassier	20septembre2017	97	b	0	90	2.1	0.22	100	1	1	90	90	10	70	0.15	1.2	0	0	31	0	44	0	0	0	3	0	0	0	0	0	0	19	Thalap	23.90	14.30	4.52	0	sombre	rugueux	0	2.38
b0	julien.curassier	20septembre2017	97	b	0	90	2.1	0.22	100	1	1	90	90	10	70	0.15	1.2	0	0	31	0	44	0	0	0	3	0	0	0	0	0	0	19	Thalap	22.5	15.10	0.47	0	sombre	lisse	1	2.34
b0	julien.curassier	20septembre2017	97	b	0	90	2.1	0.22	100	1	1	90	90	10	70	0.15	1.2	0	0	31	0	44	0	0	0	3	0	0	0	0	0	0	19	Thalap	20.00	12.60	0.62	0	clair	rugueux	0	1.86
b0	julien.curassier	20septembre2017	97	b	0	90	2.1	0.22	100	1	1	90	90	10	70	0.15	1.2	0	0	31	0	44	0	0	0	3	0	0	0	0	0	0	19	Thalap	22.76	13.40	4.40	0	sombre	rugueux	1	2.1
b0	julien.curassier	20septembre2017	97	b	0	90	2.1	0.22	100	1	1	90	90	10	70	0.15	1.2	0	0	31	0	44	0	0	0	3	0	0	0	0	0	0	19	Thalap	22.30	14.20	5.30	0	clair	lisse	1	2.06
b0	julien.curassier	20septembre2017	97	b	0	90	2.1	0.22	100	1	1	90	90	10	70	0.15	1.2	0	0	31	0	44	0	0	0	3	0	0	0	0	0	0	19	Litlit	13.20	12.10	6.50	0	sombre	lisse	1	0.74
b0	julien.curassier	20septembre2017	97	b	0	90	2.1	0.22	100	1	1	90	90	10	70	0.15	1.2	0	0	31	0	44	0	0	0	3	0	0	0	0	0	0	19	Litlit	12.60	11.60	5.70	0	sombre	lisse	0	1.1
b0	julien.curassier	20septembre2017	97	b	0	90	2.1	0.22	100	1	1	90	90	10	70	0.15	1.2	0	0	31	0	44	0	0	0	3	0	0	0	0	0	0	19	Litlit	14.1	11	4.70	0	sombre	lisse	0	0.96
b0	julien.curassier	20septembre2017	97	b	0	90	2.1	0.22	100	1	1	90	90	10	70	0.15	1.2	0	0	31	0	44	0	0	0	3	0	0	0	0	0	0	19	Litlit	11.3	12.60	5.00	0	sombre	lisse	1	1.22
b0	julien.curassier	20septembre2017	97	b	0	90	2.1	0.22	100	1	1	90	90	10	70	0.15	1.2	0	0	31	0	44	0	0	0	3	0	0	0	0	0	0	19	Litlit	12.7	12.1	5.00	0	sombre	lisse	0	0.92
b0	julien.curassier	20septembre2017	97	b	0	90	2.1	0.22	100	1	1	90	90	10	70	0.15	1.2	0	0	31	0	44	0	0	0	3	0	0	0	0	0	0	19	Gibmon	12.88	17.26	7.80	0	sombre	lisse	1	2.06
b0	julien.curassier	20septembre2017	97	b	0	90	2.1	0.22	100	1	1	90	90	10	70	0.15	1.2	0	0	31	0	44	0	0	0	3	0	0	0	0	0	0	19	Gibmon	9.8	13.2	4.80	0	sombre	lisse	0	0.92
b0	julien.curassier	20septembre2017	97	b	0	90	2.1	0.22	100	1	1	90	90	10	70	0.15	1.2	0	0	31	0	44	0	0	0	3	0	0	0	0	0	0	19	Gibmon	12.60	17.10	7.70	0	sombre	lisse	1	2.64
b0	julien.curassier	20septembre2017	97	b	0	90	2.1	0.22	100	1	1	90	90	10	70	0.15	1.2	0	0	31	0	44	0	0	0	3	0	0	0	0	0	0	19	Gibsp.	4.80	10.00	4.60	0	sombre	lisse	0	0.42
b0	julien.curassier	20septembre2017	97	b	0	90	2.1	0.22	100	1	1	90	90	10	70	0.15	1.2	0	0	31	0	44	0	0	0	3	0	0	0	0	0	0	19	Gibsp.	9.00	13.30	5.00	0	sombre	lisse	0	0.96
b0	julien.curassier	20septembre2017	97	b	0	90	2.1	0.22	100	1	1	90	90	10	70	0.15	1.2	0	0	31	0	44	0	0	0	3	0	0	0	0	0	0	19	Gibsp.	7.4	12.2	3.80	1	sombre	lisse	1	0.14
b0	julien.curassier	20septembre2017	97	b	0	90	2.1	0.22	100	1	1	90	90	10	70	0.15	1.2	0	0	31	0	44	0	0	0	3	0	0	0	0	0	0	19	Gibsp.	7.3	11.8	4.50	0	sombre	lisse	0	0.16
b0	julien.curassier	20septembre2017	97	b	0	90	2.1	0.22	100	1	1	90	90	10	70	0.15	1.2	0	0	31	0	44	0	0	0	3	0	0	0	0	0	0	19	Gibsp.	8.20	10.2	4.40	0	sombre	lisse	1	0.9
b0	julien.curassier	20septembre2017	97	b	0	90	1.9	0.21	100	1	0	100	10	0	10	0.04	0.6	0	0	38	0	19	0	0	0	1	0	0	0	0	0	0	1	Thalap	20.00	12.00	4.00	0	sombre	rugueux	1	1.64
b0	julien.curassier	20septembre2017	97	b	0	90	1.9	0.21	100	1	0	100	10	0	10	0.04	0.6	0	0	38	0	19	0	0	0	1	0	0	0	0	0	0	1	Litlit	14.71	13.40	5.20	0	sombre	lisse	0	1.06
b0	julien.curassier	20septembre2017	97	b	0	90	1.9	0.21	100	1	0	100	10	0	10	0.04	0.6	0	0	38	0	19	0	0	0	1	0	0	0	0	0	0	1	Litlit	12.20	9.00	5.00	0	sombre	lisse	0	0.7
b0	julien.curassier	20septembre2017	97	b	0	90	1.9	0.21	100	1	0	100	10	0	10	0.04	0.6	0	0	38	0	19	0	0	0	1	0	0	0	0	0	0	1	Litlit	11.00	10.10	5.30	0	sombre	lisse	1	0.82
b0	julien.curassier	20septembre2017	97	b	0	90	1.9	0.21	100	1	0	100	10	0	10	0.04	0.6	0	0	38	0	19	0	0	0	1	0	0	0	0	0	0	1	Litlit	10.70	8.00	3.20	0	sombre	lisse	0	0.38
b0	julien.curassier	20septembre2017	97	b	0	90	1.9	0.21	100	1	0	100	10	0	10	0.04	0.6	0	0	38	0	19	0	0	0	1	0	0	0	0	0	0	1	Litlit	7.46	8.24	3.60	0	sombre	lisse	1	0.5
b0	julien.curassier	20septembre2017	97	b	0	90	1.9	0.21	100	1	0	100	10	0	10	0.04	0.6	0	0	38	0	19	0	0	0	1	0	0	0	0	0	0	1	Gibmon	11.40	16.08	7.20	0	sombre	lisse	1	2.2
b0	julien.curassier	20septembre2017	97	b	0	90	1.9	0.21	100	1	0	100	10	0	10	0.04	0.6	0	0	38	0	19	0	0	0	1	0	0	0	0	0	0	1	Gibsp.	13.30	12.10	4.60	0	sombre	lisse	1	0.8
b0	julien.curassier	20septembre2017	97	b	0	90	1.9	0.21	100	1	0	100	10	0	10	0.04	0.6	0	0	38	0	19	0	0	0	1	0	0	0	0	0	0	1	Gibsp.	11.40	16.08	7.20	0	sombre	lisse	1	2.2
b0	julien.curassier	20septembre2017	97	b	0	90	1.9	0.21	100	1	0	100	10	0	10	0.04	0.6	0	0	38	0	19	0	0	0	1	0	0	0	0	0	0	1	Gibsp.	9.00	12.9	4.50	0	sombre	lisse	1	1.12
b0	julien.curassier	20septembre2017	97	b	0	90	1.9	0.21	100	1	0	100	10	0	10	0.04	0.6	0	0	38	0	19	0	0	0	1	0	0	0	0	0	0	1	Gibsp.	8.50	11.88	5.10	0	clair	lisse	0	0.82
b0	julien.curassier	20septembre2017	97	b	0	90	1.9	0.21	100	1	0	100	10	0	10	0.04	0.6	0	0	38	0	19	0	0	0	1	0	0	0	0	0	0	1	Gibsp.	6.30	9.90	0.48	0	sombre	lisse	0	0.42
b0	julien.curassier	20septembre2017	97	b	0	90.5	2.5	0.20	100	10	0	100	0	0	1	0.02	0.1	0	0	3	0	18	0	0	0	20	0	0	0	0	0	0	3	Thalap	23.90	13.00	4.80	0	sombre	rugueux	0	2.38
b0	julien.curassier	20septembre2017	97	b	0	90.5	2.5	0.20	100	10	0	100	0	0	1	0.02	0.1	0	0	3	0	18	0	0	0	20	0	0	0	0	0	0	3	Thalap	23.40	14.80	5.10	0	sombre	lisse	1	2.3
b0	julien.curassier	20septembre2017	97	b	0	90.5	2.5	0.20	100	10	0	100	0	0	1	0.02	0.1	0	0	3	0	18	0	0	0	20	0	0	0	0	0	0	3	Thalap	22.50	13.60	4.20	0	sombre	lisse	1	2.78
b0	julien.curassier	20septembre2017	97	b	0	90.5	2.5	0.20	100	10	0	100	0	0	1	0.02	0.1	0	0	3	0	18	0	0	0	20	0	0	0	0	0	0	3	Gibsp.	12.76	16.28	7.20	0	sombre	lisse	1	2.48
b0	julien.curassier	20septembre2017	97	b	0	90.5	2.5	0.20	100	10	0	100	0	0	1	0.02	0.1	0	0	3	0	18	0	0	0	20	0	0	0	0	0	0	3	Gibsp.	8.10	13.30	5.20	0	sombre	lisse	0	0.96
b0	julien.curassier	20septembre2017	97	b	0	90.5	2.5	0.20	100	10	0	100	0	0	1	0.02	0.1	0	0	3	0	18	0	0	0	20	0	0	0	0	0	0	3	Gibsp.	11.40	17.00	7.00	0	sombre	lisse	1	1.9
